shoesIDX,shoesID,pro_name
462,1012A513-001,Metarun
463,1012A513-200,Metarun
464,1012A513-400,Metarun
465,1012A516-100,GT-2000 7 Twist
466,1012A516-500,GT-2000 7 Twist
467,1012A518-020,PATRIOT 11 Twist
468,1012A518-600,PATRIOT 11 Twist
469,1012A520-001,ROADHAWK FF 2 Twist
470,1012A534-001,GEL-EXCITE 6 Winterized
471,1012A536-020,GEL-KAYANO 26 LITE-SHOW
472,1012A540-001,GEL-NIMBUS 21 LITE-SHOW
473,1012A541-400,GEL-NIMBUS 21 Winterized
474,1012A542-020,GEL-CUMULUS 21 LITE-SHOW
475,1012A543-200,GEL-CUMULUS 21 Winterized
476,1012A544-100,GEL-KAYANO 26 KAI
477,1012A550-020,GEL-PULSE 11 LITE-SHOW
478,1012A551-001,GEL-Nimbus 21
479,1012A554-001,GT-2000 7
480,1012A591-002,GT-2000 8
481,1012A591-701,GT-2000 8
482,1012A592-002,GT-2000 8 (D)
483,1012A592-701,GT-2000 8 (D)
484,1012A606-200,GEL-PULSE 11 Winterized
485,1012A608-100,GEL-NIMBUS 21 Platinum
486,1012A609-700,GEL-KAYANO 26 SP
487,1012A610-100,GT-2000 7 SP
488,1012A611-100,GEL-NIMBUS 21 SP
489,1012A612-700,GEL-CUMULUS 21 SP
490,1012A645-020,GEL-KAYANO 26 Platinum
491,1012A646-001,GEL-CUMULUS 21
492,1012A647-100,GEL-DS TRAINER 24
493,1012A687-021,GEL-KAYANO 26
494,1012A691-201,GEL-CUMULUS 21
495,1012A699-001,GLIDERIDE
496,1012A699-020,GLIDERIDE
497,1012A699-700,GLIDERIDE
498,1012A746-001,GEL-EXCITE 6
499,1012A747-020,GEL-CONTEND 5
500,1012A757-001,GEL-CUMULUS 21
501,1012A758-001,GEL-PULSE 11
502,1012A759-001,GEL-KAYANO 26
503,1013A012-700,Sortiemagic RP 4 Tenka
504,1013A075-600,SORTIEMAGIC RP 4 TENKA
505,1.02E+15,Suede Espadrilles
506,1.02E+15,Suede Loafers
507,1.02E+15,Suede Loafers
508,1021A007-001,GEL-Kenun Lyte MX
509,1021A014-001,HyperGEL-SAI
510,1021A014-002,HyperGEL-SAI
511,1021A014-020,HyperGEL-SAI
512,1021A014-100,HyperGEL-SAI
513,1021A014-300,HyperGEL-SAI
514,1021A014-400,HyperGEL-SAI
515,1021A025-020,GEL-Kenun Knit
516,1021A025-600,GEL-Kenun Knit
517,1021A026-001,GEL-Kayano 25 OBI
518,1021A026-100,GEL-Kayano 25 OBI
519,1021A028-001,GEL-Quantum 360 4
520,1021A028-020,GEL-Quantum 360 4
521,1021A028-021,GEL-Quantum 360 4
522,1021A028-022,GEL-Quantum 360 4
523,1021A028-023,GEL-Quantum 360 4
524,1021A028-400,GEL-Quantum 360 4
525,1021A029-001,GEL-Quantum 180 3
526,1021A029-021,GEL-Quantum 180 3
527,1021A032-001,HyperGEL-Kan
528,1021A032-020,HyperGEL-Kan
529,1021A032-100,HyperGEL-Kan
530,1021A050-001,GEL-Kenun 2
531,1021A050-400,GEL-Kenun 2
532,1021A054-001,GEL-Quantum 90 SG
533,1021A054-021,GEL-Quantum 90 SG
534,1021A054-400,GEL-Quantum 90 SG
535,1021A056-001,GEL-Quantum Infinity
536,1021A056-002,GEL-Quantum Infinity
537,1021A056-003,GEL-Quantum Infinity
538,1021A056-020,GEL-Quantum Infinity
539,1021A056-021,GEL-Quantum Infinity
540,1021A056-100,GEL-Quantum Infinity
541,1021A058-400,GEL-Kayano 25 OBI
542,1021A065-002,HYPERGEL-YU
543,1021A065-005,HYPERGEL-YU
544,1021A065-020,HYPERGEL-YU
545,1021A065-400,HYPERGEL-YU
546,1021A065-403,HYPERGEL-YU
547,1021A104-001,GEL-QUANTUM 180 4
548,1021A104-002,GEL-QUANTUM 180 4
549,1021A104-005,GEL-QUANTUM 180 4
550,1021A104-020,GEL-QUANTUM 180 4
551,1021A104-021,GEL-QUANTUM 180 4
552,1021A104-024,GEL-QUANTUM 180 4
553,1021A104-100,GEL-QUANTUM 180 4
554,1021A104-101,GEL-QUANTUM 180 4
555,1021A104-104,GEL-QUANTUM 180 4
556,1021A104-600,GEL-QUANTUM 180 4
557,1021A104-601,GEL-QUANTUM 180 4
558,1021A105-001,GEL-Quantum 360 4 LE
559,1021A105-200,GEL-Quantum 360 4 LE
560,1021A105-400,GEL-Quantum 360 4 LE
561,1021A113-001,GEL-QUANTUM 360 5
562,1021A113-002,GEL-QUANTUM 360 5
563,1021A113-020,GEL-QUANTUM 360 5
564,1021A113-021,GEL-QUANTUM 360 5
565,1021A113-100,GEL-QUANTUM 360 5
566,1021A117-020,GEL-KINSEI OG
567,1021A117-021,GEL-KINSEI OG
568,1021A117-100,GEL-KINSEI OG
569,1021A117-101,GEL-KINSEI OG
570,1021A120-009,GEL-Quantum 360 4
571,1021A123-001,GEL-QUANTUM 90
572,1021A123-003,GEL-QUANTUM 90
